Institution Number,PI Last Name,PI First Name,PI Department Name,Investigator ALL Last Name,Investigator ALL First Name,Investigator ALL Dept or Unit,Sponsor Name,Project Title,Requested Project Period Start Date,Requested Project Period End Date,Project Total Requested Sponsor Costs (entire project),Current Proposal Status,Current Proposal Status Date,ARRA Funding,Sponsor Award Number
PT091517,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Conservation and Recreation,Assessment and Prioritization of Virginia and Watersheds Based on Aquatic Living Resources,1-Oct-02,31-Dec-03,228722,Award Destroyed,20-Jun-11,N,503120219PT
PT091518,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Conservation and Recreation,Chesapeake 2000 Technical Support,1-Jan-03,30-Jun-04,122000,Award Destroyed,20-Nov-12,N,BAY-2002-03-PT
PT091519,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Conservation and Recreation,Coastal NPS Program Implementation Assistance,1-Oct-03,30-Sep-04,46002,Award Destroyed,7-Jul-11,N,50312-02-14-PT
PT091520,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Conservation and Recreation,Enhanced Aquatic Resources Component for the 2002 Biennal Nonpoint Source Water Quality Assessment,1-Oct-01,30-Jun-02,27500,Award Destroyed,5-Jul-11,N,VA DCR
PT091521,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Conservation and Recreation,Environmental Program Manager,1-Sep-01,31-Mar-02,13350,Award Destroyed,5-Jul-11,N,50312-00-6-PT
PT091523,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Conservation and Recreation,Stream Health Data Collection,1-May-04,31-Mar-06,293400,Award Destroyed,31-Jan-13,N,BAY-2004-01-PT
PT091524,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Conservation and Recreation,Web Module Development,1-Oct-01,15-Dec-02,45455,Award Destroyed,5-Jul-11,N,BAY-2001-8-PT
PT091525,Young,Donald,Biology,Young~,Donald~,Biology~,Virginia Department of Conservation and Recreation,Changes in Phragmites Distribution and Abundance on Parramore Island Natural Area Preserve and the Eastern Shore National Wildlife Reserve,15-Mar-04,30-Sep-04,19000,Award Destroyed,18-Jul-11,N,NA
PT091526,Young,Donald,Biology,Young~,Donald~,Biology~,Virginia Department of Conservation and Recreation,Response of Phragmites to Disturbance by Wildfire on Parramore Island,1-Jun-03,30-Sep-03,15000,Award Destroyed,20-Jun-11,N,NA
PT091527,Kliewer,Wendy,Psychology,Kliewer~,Wendy~,Psychology~,Virginia Department of Correctional Education,Service Learning for Youthful Offenders,1-Jul-98,30-Jun-03,20000,Award Destroyed,1-Jul-11,N,NA
PT091528,Myers,Barbara,Psychology,Myers~,Barbara~,Psychology~,Virginia Department of Correctional Education,Parenting Children of Promise,16-Aug-04,15-May-05,17105,Award Destroyed,3-Dec-12,N,NA
PT091531,Shivy,Victoria,Psychology,Grad Student~Shivy~,~Victoria~,Psychology~Psychology~,Virginia Department of Correctional Education,INTUIT:Work and Careers,1-Jul-07,30-Jun-10,246518,Award In Closeout,23-Jun-11,N,96-1050-00
PT091532,Maloney,Diane,Center for Public Policy,Maloney~,Diane~,Center for Public Policy~,Virginia Department of Corrections,Management Training Program,24-Apr-02,24-Jun-02,24089,Award Destroyed,20-Jun-11,N,NA
PT091533,Shivy,Victoria,Psychology,Shivy~,Victoria~,Psychology~,Virginia Department of Corrections,Psychology in Corrections,1-Jul-05,30-Jun-07,260000,Award Archived,7-Nov-08,N,DOC-04-030 mod 5
PT091535,Fuller,Willie,Campus Police,Fuller~,Willie~,Campus Police~,Virginia Department of Criminal Justice,Incident Based Reporting System,1-May-01,31-Dec-01,36038,Award Destroyed,20-Jun-11,N,02A3761IB00
PT091536,Harris,Linda,SOE Teach Lrng Dept,Harris~,Linda~,SOE Teach Lrng Dept~,Virginia Department of Criminal Justice,One Child at a Time,1-Jul-03,30-Jun-04,67500,Award Destroyed,13-Jul-11,N,04-A4280JB01
PT091537,Kupstas,Paula,Center on Aging,Kupstas~,Paula~,Center on Aging~,Virginia Department of Criminal Justice,Central Virginia Task Force on Older Battered Women Project,1-Jan-03,31-Dec-03,32957,Award Destroyed,20-Jun-11,N,03-A4145VA02
PT091539,Maloney,Diane,Center for Public Policy,Maloney~,Diane~,Center for Public Policy~,Virginia Department of Criminal Justice,Technical Assistance and Training in Highway Safety for Nonprofits,1-Aug-01,31-Dec-01,33809,Award Destroyed,20-Jun-11,N,Va Criminal Justice
PT091540,Orelove,Fred,SOE Deans Office Dean's Suite,Orelove~,Fred~,SOE Spec Ed and DP PPD~,Virginia Department of Criminal Justice,Youth with Hidden Disabilities in Virginia's Juvenile Justice System,15-May-02,31-Dec-02,120313,Award Destroyed,5-Jul-11,N,02-A3959JB01
PT091541,Allen,Bernice,SOE Teach Lrng Dept,Allen~,Bernice~,SOE Spec Ed and DP PPD~,Virginia Department of Education,School Nurse Institute Partnership: Training School Nurses and Health Services Personnel,1-Nov-03,31-May-04,30252,Award Destroyed,7-Jul-11,N,NA
PT091542,Blatecky,John,Psychiatry,Blatecky~,John~,Psychiatry~,Virginia Department of Education,Autism Planning Council Program Support,1-Jan-03,31-Dec-03,20000,Award Destroyed,20-Jun-11,N,873-SVO4APC
PT091543,Bosher,William,SOE Deans Office Dean's Suite,Bosher~,William~,SOE Ed Ldshp CEPI~,Virginia Department of Education,Content and Performance Standards in Adult Education,1-May-03,30-Sep-03,49518,Award Destroyed,20-Nov-12,N,E287
PT091544,Bosher,William,SOE Deans Office Dean's Suite,Bosher~,William~,SOE Ed Ldshp CEPI~,Virginia Department of Education,Even Start Family Literacy State Evaluation,1-Jul-03,30-Jun-04,115000,Award Destroyed,18-Jul-11,N,F168
PT091545,Bosher,William,SOE Deans Office Dean's Suite,Bosher~,William~,SOE Ed Ldshp CEPI~,Virginia Department of Education,Finance and Leadership Online,1-Jan-02,30-Jun-02,200000,Award Destroyed,20-Jun-11,N,VA Education
PT091546,Bosher,William,SOE Deans Office Dean's Suite,Bosher~,William~,SOE Ed Ldshp CEPI~,Virginia Department of Education,Finance and Leadership Online: Part 2,15-Mar-03,1-Oct-03,145000,Award Destroyed,20-Jun-11,N,Virginia Department
PT091547,Bosher,William,SOE Deans Office Dean's Suite,Bosher~,William~,SOE Ed Ldshp CEPI~,Virginia Department of Education,GED Project,1-Jul-03,30-Jun-04,200000,Award Destroyed,8-Jul-11,N,NA
PT091549,Bosher,William,SOE Deans Office Dean's Suite,Bosher~,William~,SOE Ed Ldshp CEPI~,Virginia Department of Education,State Action for Educational Leadership Part 2,1-Jun-04,30-Jun-05,306771,Award Destroyed,23-Aug-11,N,Virginia Department of Ed
PT091550,Bosher,William,SOE Deans Office Dean's Suite,Bosher~,William~,SOE Ed Ldshp CEPI~,Virginia Department of Education,Teacher On-line Mentoring Pilot,1-Sep-04,31-Aug-05,75000,Award Destroyed,17-Dec-12,N,VCU-TITLEII-SPECIAL PROG-04-05
PT091551,Bosher,William,SOE Deans Office Dean's Suite,Bosher~,William~,SOE Ed Ldshp CEPI~,Virginia Department of Education,Virginia School Principal's Special Education Grant,1-Sep-04,31-Jan-05,392500,Award Destroyed,20-Nov-12,N,881-04HSF
PT091552,Cox,Ann,SOE Teach Lrng Dept,Cox~,Ann~,SOE Teach Lrng Dept~,Virginia Department of Education,Competencies for Persons Working with Infants_ Toddlers and Children with Hearing Impairment/Deafness and their Families,15-Aug-02,31-Aug-03,346265,Award Destroyed,16-Jul-08,N,E199
PT091553,Cox,Ann,SOE Teach Lrng Dept,Cox~,Ann~,SOE Teach Lrng Dept~,Virginia Department of Education,Hearing Specialist for Infants_ Toddlers_ and Children with Hearing Impairment/Deafness and their Families,1-Oct-03,30-Jun-04,142073,Award Destroyed,8-Jul-11,N,F260
PT091554,Cox,Ann,SOE Teach Lrng Dept,Cox~,Ann~,SOE Teach Lrng Dept~,Virginia Department of Education,Training and Technical Assistance Center for Regions 1 and 8,1-Jul-04,30-Jun-05,1735041,Award Destroyed,24-Aug-11,N,881-SY05TAC
PT091555,Cox,Ann,SOE Deans Office Dean's Suite,Cox~,Ann~,SOE Teach Lrng Dept~,Virginia Department of Education,Training for School Nurses and Assistants,1-Jul-01,30-May-02,15542,Award Destroyed,20-Jun-11,N,VDOE D098
PT091556,Dozier,Therese,SOE Deans Office Dean's Suite,Dozier~,Therese~,SOE Teach Lrng Dept~,Virginia Department of Education,Coordination of Teacher Quality Forum: Developing a Multi-Tiered Licensure System for Virginia,21-Jan-03,4-Apr-03,15806,Award Destroyed,20-Jun-11,N,NA
PT091557,Dozier,Therese,SOE Teach Lrng Dept,Dozier~,Therese~,SOE Teach Lrng Dept~,Virginia Department of Education,Developing Draft Teaching Standards for Virginia and Designing Teachers For Tomorrow Program,1-Oct-03,30-Sep-04,58838,Award Destroyed,18-Jul-11,N,F365
PT091558,Dozier,Therese,SOE Teach Lrng Dept,Dozier~,Therese~,SOE Teach Lrng Dept~,Virginia Department of Education,NBCT Clinical Faculty,1-Sep-03,31-Aug-04,51105,Award Destroyed,20-Jul-11,N,SY04CLFP
PT091559,Dvorak,Paul,School of World Studies,Dvorak~,Paul~,School of World Studies~,Virginia Department of Education,Governor's Foreign Language Academies for Summer 2009,1-Jan-04,31-Dec-09,2950422,Award Closed,26-Nov-13,N,E030705-535-032-8
PT091560,Eisenberg,John,SOE Teach Lrng Dept,Eisenberg~,John~,SOE Teach Lrng Dept~,Virginia Department of Education,Technical Assistance on Deafblindness for the Virginia Department of Education,1-Jan-04,30-Jun-04,65000,Award Destroyed,8-Jul-11,N,F307
PT091561,Eisenberg,John,SOE Teach Lrng Dept,Eisenberg~,John~,SOE Teach Lrng Dept~,Virginia Department of Education,Virginia Alternate Assessment Program,1-Oct-04,30-Sep-05,38701,Award Destroyed,10-Jan-13,N,G232
PT091562,Eisenberg,John,SOE Teach Lrng Dept,Eisenberg~,John~,SOE Teach Lrng Dept~,Virginia Department of Education,"Virginia Deaf Blind Project ""Together We Can""",1-Sep-04,30-Jun-05,85000,Award Destroyed,10-Jan-13,N,G178
PT091563,Eisenberg,John,SOE Teach Lrng Dept,Eisenberg~,John~,SOE Teach Lrng Dept~,Virginia Department of Education,Virginia Deaf-Blind Project Statewide Needs Assessment and Strategic Planning,2-Jan-03,30-Jun-03,7673,Award Destroyed,20-Jun-11,N,881-SY03VDBP
PT091564,Ellis,James,Survey and Evaluation Research Laboratory,Ellis~,James~,Survey and Evaluation Research Laboratory~,Virginia Department of Education,2002 Virginia Department of Education School Construction Survey,1-Aug-02,30-Sep-03,23819,Award Destroyed,20-Jun-11,N,NA
PT091565,Ellis,James,Survey and Evaluation Research Laboratory,Ellis~,James~,Survey and Evaluation Research Laboratory~,Virginia Department of Education,Cluster Analysis of Secondary Data on Virginia School Divisions,14-Jul-03,31-Dec-03,5000,Award Destroyed,20-Jun-11,N,F236
PT091566,Emblidge,Mark,SOE Deans Office Dean's Suite,Emblidge~,Mark~,SOE Deans Office Dean's Suite~,Virginia Department of Education,Adult Education in the Commonwealth,1-Dec-04,30-Jun-05,32400,Award Destroyed,3-Dec-12,N,G230
PT091567,Emblidge,Mark,SOE Deans Office Dean's Suite,Emblidge~,Mark~,SOE Deans Office Dean's Suite~,Virginia Department of Education,Building Bridges With English,1-Oct-04,30-Jun-06,115895,Award Destroyed,27-Jul-12,N,VAEL/CIVICS-2005-881
PT091568,Emblidge,Mark,SOE Deans Office Dean's Suite,Emblidge~,Mark~,SOE Deans Office Dean's Suite~,Virginia Department of Education,Community Based Literacy Organizations Program Development Institutes,1-Dec-04,31-May-05,51480,Award Destroyed,21-Nov-12,N,G180
PT091569,Bosher,William,SOE Deans Office Dean's Suite,Bosher~Emblidge~,William~Mark~,SOE Ed Ldshp CEPI~SOE Deans Office Dean's Suite~,Virginia Department of Education,Virginia Adult Learning Resource Center,1-Apr-05,30-Jun-05,1260000,Award Destroyed,23-Aug-11,N,NA
PT091570,Emblidge,Mark,SOE Deans Office Dean's Suite,Emblidge~,Mark~,SOE Deans Office Dean's Suite~,Virginia Department of Education,Virginia Adult Learning Resource Center Race to GED,1-Jul-04,30-Sep-04,30000,Award Destroyed,20-Jun-11,N,G-097
PT091571,Farley,Reuben,Mathematics and Applied Mathematics,Farley~,Reuben~,Mathematics and Applied Mathematics~,Virginia Department of Education,Preparing Highly Qualified Middle School Mathematics Teachers Across Virginia,1-Feb-04,30-Sep-04,128583,Award Destroyed,10-Jan-13,N,NA
PT091572,Fox,Jill Englebr,SOE Deans Office Dean's Suite,Fox~,Jill Englebr~,Educational Study/Adult Education/Vocational Tech~,Virginia Department of Education,C3: Coaching Competent Colleagues,2-Jul-03,30-Jun-05,47075,Award Destroyed,7-Dec-12,N,P336A02 0002 mod 1
PT091573,Fox,Jill Englebr,SOE Deans Office Dean's Suite,Fox~,Jill Englebr~,Educational Study/Adult Education/Vocational Tech~,Virginia Department of Education,Teacher-to-Teacher: Clinical Faculty Mentoring Pre-Service and Beginning Teachers,1-Jan-03,1-Jan-04,39458,Award Destroyed,5-Jul-11,N,SY03CLFP
PT091574,Funk,Carolyn,Wilder School of Government and Public Affairs,Funk~,Carolyn~,Wilder School of Government and Public Affairs~,Virginia Department of Education,Survey of High School Seniors and Guidance Counselors on Career Training,1-Nov-03,1-May-04,18700,Award Destroyed,20-Jun-11,N,F320
PT091575,Getzel,Elizabeth,SOE Teach Lrng Dept,Getzel~,Elizabeth~,SOE Spec Ed and DP RRTC~,Virginia Department of Education,Data Collection and Analysis for Pilot Sites for the Virginia Transition Outcomes Project,1-Sep-03,30-Jun-04,60000,Award Destroyed,12-Jul-11,N,F235
PT091576,Getzel,Elizabeth,SOE Teach Lrng Dept,Getzel~,Elizabeth~,SOE Spec Ed and DP RRTC~,Virginia Department of Education,Data Collection and Analysis for Pilot Sites for the Virignia Transition Outcomes Project,1-Jul-04,30-Jun-05,60000,Award Destroyed,10-Jan-13,N,G056
PT091577,Getzel,Elizabeth,SOE Teach Lrng Dept,Getzel~,Elizabeth~,SOE Spec Ed and DP RRTC~,Virginia Department of Education,Post Secondary Survey,1-Jun-02,30-May-03,28003,Award Destroyed,20-Jun-11,N,NA
PT091578,Gibson,Barbara,SOE Teach Lrng Dept,Gibson~Joyner~,Barbara~Susan~,SOE Teach Lrng VALRC~SOE Teach Lrng Dept~,Virginia Department of Education,EL/Civics Research Project,1-Apr-03,30-Jun-05,75000,Award Destroyed,20-Jun-11,N,NA
PT091579,Gibson,Barbara,SOE Teach Lrng Dept,Gibson~,Barbara~,SOE Teach Lrng VALRC~,Virginia Department of Education,English Literacy / Civics Education Research Project,1-Jul-04,30-Jun-05,75000,Award Destroyed,3-Dec-12,N,NA
PT091580,Gibson,Barbara,SOE Teach Lrng Dept,Gibson~Joyner~,Barbara~Susan~,SOE Teach Lrng VALRC~SOE Teach Lrng Dept~,Virginia Department of Education,Virginia Adult Learning Resource Center,1-Jul-03,30-Jun-04,1067888,Award Destroyed,12-Jul-11,N,F150
PT091581,Heubach,Kathleen,SOE Deans Office Dean's Suite,Heubach~,Kathleen~,SOE Deans Office Dean's Suite~,Virginia Department of Education,Howard Street Tutoring Program,1-Jul-01,30-Jun-02,87272,Award Destroyed,20-Jun-11,N,VA Ded
PT091583,Joyner,Susan,SOE Deans Office Dean's Suite,Joyner~,Susan~,SOE Teach Lrng Dept~,Virginia Department of Education,Virginia Adult Learning Resource Center,24-Mar-03,30-Jun-03,1050099,Award Destroyed,20-Jun-11,N,E088 mod 1
PT091584,Karchmer,Rachel,SOE Teach Lrng Dept,Karchmer~,Rachel~,SOE Teach Lrng Dept~,Virginia Department of Education,Early Steps Richmond Area,15-Jul-02,30-Jun-03,54583,Award Destroyed,20-Jun-11,N,VA Dept of Ed
PT091585,Karchmer,Rachel,SOE Deans Office Dean's Suite,Karchmer~,Rachel~,SOE Teach Lrng Dept~,Virginia Department of Education,Howard Street Tutoring Program,8-Jul-02,30-Jun-03,5000,Award Destroyed,20-Jun-11,N,Patrick Henry
PT091586,Kregel,John,SOE Teach Lrng Dept,Kregel~,John~,SOE Spec Ed and DP RRTC~,Virginia Department of Education,VCU Conditional License Pilot Program,1-Oct-03,15-Jun-04,281189,Award Destroyed,27-Jul-12,N,171-02-30
PT091587,Kregel,John,SOE Teach Lrng Dept,Kregel~,John~,SOE Spec Ed and DP RRTC~,Virginia Department of Education,VCU Prerequisite Coursework Project,1-Jul-04,15-Nov-04,34890,Award Destroyed,20-Jul-11,N,SpedEndPro05
PT091588,Laver,Joseph,Pediatrics,Laver~,Joseph~,Pediatrics~,Virginia Department of Education,Educational Services for Hospitalized Youth,1-Jul-00,30-Sep-02,13466,Award Destroyed,20-Jun-11,N,VDOE873-0001FT
PT091589,Laver,Joseph,Pediatrics,Laver~,Joseph~,Pediatrics~,Virginia Department of Education,Idea Part B Sliver Grant,1-Jun-03,30-Sep-04,3723,Award Destroyed,18-Jul-11,N,873-0203SL
PT091590,Laver,Joseph,Pediatrics,Laver~,Joseph~,Pediatrics~,Virginia Department of Education,IDEA Part B/ Flow-Through,1-Jul-04,30-Sep-06,5506,Award Destroyed,10-Dec-12,N,873-0405FT
PT091591,Laver,Joseph,Pediatrics,Laver~,Joseph~,Pediatrics~,Virginia Department of Education,IDEA Part B/ Sliver Grant,1-Jul-04,30-Sep-05,3662,Award Destroyed,10-Jan-13,N,873-04SL
PT091592,Linker,Julie,Psychiatry,Linker~,Julie~,Psychiatry~,Virginia Department of Education,Instrument Development for Parents & Family Satisfaction in Special Education & Decision Making,1-Sep-03,31-Aug-04,44495,Award Destroyed,15-Jul-11,N,F284
PT091593,O'Neill,Margaret,SOE Teach Lrng Dept,O'Neill~,Margaret~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Maltreatment of Children with Disabilities: A Partnership for Education,1-Jul-05,30-Jun-06,35853,Award Destroyed,7-Jan-13,N,080905-685E-128
PT091594,Oehler,John,Educational Study/Adult Education/Vocational Tech,Oehler~,John~,Educational Study/Adult Education/Vocational Tech~,Virginia Department of Education,Training Workshops: Truancy,30-Sep-03,30-Jun-04,50000,Award Destroyed,5-Jul-11,N,F242
PT091595,Oggel,Linda,SOE Teach Lrng Dept,Oggel~,Linda~,SOE Spec Ed and DP PPD~,Virginia Department of Education,College Quest,1-Feb-05,30-Jun-05,5000,Award Destroyed,3-Dec-12,N,Contract #G255
PT091596,Oggel,Linda,SOE Teach Lrng Dept,Oggel~,Linda~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Virginia Autism Council Project,1-Oct-04,30-Sep-05,65000,Award Destroyed,10-Jan-13,N,G231
PT091597,Orelove,Fred,SOE Deans Office Dean's Suite,Orelove~,Fred~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Positive Behavioral Supports for Students with Deaf/Blindness,1-Jul-02,30-Jun-03,50000,Award Destroyed,20-Jun-11,N,88100203DB
PT091598,Reed,Mary,SOE Deans Office Dean's Suite,Reed~,Mary~,SOE Spec Ed and DP Dept~,Virginia Department of Education,Special Education Training and Technical Assistance Center,1-Jul-02,30-Jun-03,1374263,Award Destroyed,20-Jun-11,N,881-SY03TAC
PT091599,Reed,Mary,SOE Deans Office Dean's Suite,Reed~,Mary~,SOE Spec Ed and DP Dept~,Virginia Department of Education,Training and Technical Assistance Center [T-TAC],1-Jul-03,30-Jun-04,1395058,Award Destroyed,20-Jun-11,N,881-SY04TAC
PT091600,Rossi,John,SOE Deans Office Dean's Suite,Rossi~,John~,SOE Teach Lrng Dept~,Virginia Department of Education,Europe in Transition Instructional Materials,1-Sep-02,31-Dec-02,30000,Award Destroyed,20-Jun-11,N,NA
PT091601,Rossi,John,SOE Teach Lrng Dept,Rossi~,John~,SOE Teach Lrng Dept~,Virginia Department of Education,World in Transition Instructional Materials,1-Dec-04,30-Nov-05,36000,Award Destroyed,10-Jan-13,N,NA
PT091603,Sarkozi,Gary,Continuing Education Department,Sarkozi~,Gary~,SOE Teach Lrng Dept~,Virginia Department of Education,Special Education Conditional Licensure Pilot Program,1-Jun-03,31-Aug-03,50798,Award Destroyed,5-Jul-11,N,NA
PT091604,Sarkozi,Gary,Continuing Education Department,Sarkozi~,Gary~,SOE Teach Lrng Dept~,Virginia Department of Education,Visiting Teacher Licensure Courses,13-Sep-01,31-Mar-03,10744,Award Destroyed,20-Jun-11,N,873DFDCBB-0203
PT091605,Simon,Diane,SOE Deans Office Dean's Suite,Simon~,Diane~,SOE Deans Office Dean's Suite~,American Association of Colleges for Teacher Education,A Standards-based Teacher Preparation in Mathematics and English Education,1-Aug-03,31-Jul-06,59952,Award Destroyed,3-Jan-13,N,STEP GRANT 2004
PT091606,Sterling,Melanie,SOE Teach Lrng Dept,Sterling~,Melanie~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Creating Collaborative IEPs: A Training for Parents and Educators,1-Sep-03,31-Jan-05,92126,Award Destroyed,20-Nov-12,N,F288
PT091607,Sterling,Melanie,SOE Teach Lrng Dept,Sterling~,Melanie~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Effectiveness Training for Local Special Education Advisory Committees Building Local SEACs for Better Special Education Services and Student Outcomes,1-Oct-04,30-Sep-06,231343,Award Destroyed,4-Sep-12,N,G267
PT091608,Sterling,Melanie,SOE Teach Lrng Dept,Sterling~,Melanie~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Hearing Specialist for Infants_ Toddlers and Children with Hearing Impairment Deafness and their Families,1-Jul-04,30-Jun-05,177708,Award Destroyed,10-Jan-13,N,G031
PT091609,Wilberger,Sandra,SOE Teach Lrng Dept,Wilberger~,Sandra~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Early Childhood Assistive Technology Project,29-Sep-03,15-Nov-03,15305,Award Destroyed,20-Jun-11,N,F237
PT091610,Wilberger,Sandra,SOE Teach Lrng Dept,Wilberger~,Sandra~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Early Childhood Priority Project,11-Oct-04,30-Sep-05,110000,Award Destroyed,10-Jan-13,N,G125
PT091611,Wilberger,Sandra,SOE Teach Lrng Dept,Wilberger~,Sandra~,SOE Spec Ed and DP PPD~,Virginia Department of Education,Shining Stars Early Childhood Conference,3-May-04,30-Sep-04,5000,Award Destroyed,20-Jul-11,N,Contract # F363
PT091612,Williams,Sara,Educational Study/Adult Education/Vocational Tech,Oehler~Williams~,John~Sara~,Educational Study/Adult Education/Vocational Tech~SOE Counsl Ed Dept~,Virginia Department of Education,Community Service Program for Suspended/Expelled Students,22-Jul-02,31-Oct-05,307322,Award Destroyed,10-Jan-13,N,F003
PT091613,Williams,Sara,SOE Teach Lrng Dept,Williams~,Sara~,SOE Counsl Ed Dept~,Virginia Department of Education,Community Services for Suspended or Expelled Students in Virginia - Best Practics Implementation Plan,17-Feb-03,15-May-03,5292,Award Destroyed,1-Jul-11,N,E258
PT091615,Williams,Sara,SOE Teach Lrng Dept,Williams~,Sara~,SOE Counsl Ed Dept~,Virginia Department of Education,Developing and Maintaining Community Service Program for Suspended/Expelled Students,15-Apr-03,30-Jun-04,99313,Proposal Not Awarded,28-Nov-05,N,F003
PT091616,Williams,Sara,Educational Study/Adult Education/Vocational Tech,Williams~,Sara~,SOE Counsl Ed Dept~,Virginia Department of Education,Prevention Through Information,15-Jan-05,30-Sep-05,179118,Award Destroyed,10-Jan-13,N,G235
PT091617,Mullendore,Lauren,Capital Planning and Facilities Management,Mullendore~,Lauren~,Capital Planning and Facilities Management~,Virginia Department of Emergency Management,State Homeland Security Grant Program,1-Jan-05,31-May-06,142589,Award Destroyed,14-Jan-13,N,2004 State Homeland Securty
PT091618,Urban,David,Marketing,Urban~Funk~,David~Carolyn~,Marketing~Wilder School of Government and Public Affairs~,Virginia Department of Emergency Management,Survey of Virginians Emergency Preparedness,1-Jun-04,31-Oct-04,7199,Award Destroyed,20-Jun-11,N,05-0123-00
PT091619,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Environmental Quality,Fish Community Assessment,1-Jul-04,30-Jun-05,14148,Award Destroyed,3-Dec-12,N,Dept. Env. Quality
PT091620,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Environmental Quality,Interactive Stream Assessment,1-Oct-04,30-Jun-06,96347,Award Destroyed,11-Jan-13,N,NA04N04190060
PT091621,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Environmental Quality,Refinement of INSTAR to Support Reach Level Analyses,1-Oct-04,30-Jun-06,41130,Award Destroyed,3-Jan-13,N,NA04N0S4190060 Task 93.04
PT091622,Brown,Bonnie,Biology,Brown~,Bonnie~,Biology~,Virginia Department of Game & Inland Fisheries,Ploidy Analysis of Grass Carp Ctenopharyngodon idella,1-Jul-03,30-Jun-04,2275,Award Destroyed,20-Jun-11,N,NA
PT091623,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Game & Inland Fisheries,Age and Growth Analysis of Virginia Fishes,1-Apr-02,31-Mar-04,51313,Award Destroyed,7-Jul-11,N,2002-4861
PT091624,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Game & Inland Fisheries,Conservation Education for Virginia,1-May-04,31-Dec-04,45000,Award Destroyed,20-Nov-12,N,VAR12
PT091626,Garman,Gregory,Biology,Garman~,Gregory~,Biology~,Virginia Department of Game & Inland Fisheries,Virginia Woods_ Waters and Wildlife,1-May-05,31-Dec-07,74760,Award Destroyed,7-Jul-14,N,NA
PT091627,Maloney,Diane,Center for Public Policy,Maloney~,Diane~,Center for Public Policy~,Virginia Department of Game & Inland Fisheries,Facilitation Services for VA Dept of Game and Inland Fisheries,15-Mar-04,30-Sep-05,70423,Award Destroyed,10-Jan-13,N,MOU
PT091628,Pagels,John,Biology,Pagels~,John~,Biology~,Virginia Department of Game & Inland Fisheries,Habitat_ Subspecific Identity_ Genetic Variability_ and Parasitic Loads of the Northern Flying Squirrel in Virginia,15-Mar-04,30-Jun-05,17040,Award Destroyed,10-Jan-13,N,20047198
PT091629,Povlishock,John,Anatomy and Neurobiology,Povlishock~,John~,Anatomy and Neurobiology~,Virginia Department of General Services,Electron Microscopy MOA,30-Aug-03,31-Aug-04,200000,Award Destroyed,20-Jun-11,N,#PS-002
PT091630,Allen,Bernice,SOE Teach Lrng Dept,Allen~,Bernice~,SOE Spec Ed and DP PPD~,Virginia Department of Health,School Nurse Institute Partnership: Disaster Preparedness Workshop,1-Nov-04,30-Jun-05,30819,Award Destroyed,23-Aug-11,N,MOA#96305-2004-002
PT091631,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Analysis of BRFSS Asthma Data,1-Dec-04,31-Jan-05,1725,Award Destroyed,22-Aug-11,N,P.Req.202568
PT091632,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Analysis of BRFSS Cardiovascular Data,1-Dec-04,31-Jan-05,3100,Award Destroyed,22-Aug-11,N,P.Req.205249
PT091633,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Analysis of BRFSS Tobacco Data,1-Dec-04,31-Jan-05,750,Award Destroyed,22-Aug-11,N,P.Req.205397
PT091634,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Analysis of Disability-Related BRFSS Data,28-Mar-03,31-Mar-04,1037,Award Destroyed,20-Jun-11,N,659C31358
PT091635,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,BRFSS Data Analysis (Cancer),1-Nov-04,31-Dec-05,3249,Award Destroyed,22-Aug-11,N,P.Req.202557
